"Save and Continue Edit","Save and Continue Edit"
Edit,Edit
"Manage Labels","Manage Labels"
Label,Label
Properties,Properties
"Attribute Properties","Attribute Properties"
"Attribute Code","Attribute Code"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","This is used internally. Make sure you don't use spaces or more than %1 symbols."
"Default Label","Default Label"
"Default label","Default label"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Values Required","Values Required"
"Manage Options (Values of Your Attribute)","Manage Options (Values of Your Attribute)"
Options,Options
"Attribute Information","Attribute Information"
"Location Management","Location Management"
"Add Location","Add Location"
"Edit Location `%1`","Edit Location `%1`"
"Add New Location","Add New Location"
"Location Information","Location Information"
"Available Products","Available Products"
"Apply the rule only if the following conditions are met (leave blank for all products).","Apply the rule only if the following conditions are met (leave blank for all products)."
Actions,Actions
"Store Attributes","Store Attributes"
"Please Select","Please Select"
No,No
Yes,Yes
"General Information","General Information"
"Location Settings","Location Settings"
General,General
"Location name","Location name"
"Store View","Store View"
City,City
Description,Description
Zip,Zip
Address,Address
"Phone Number","Phone Number"
"E-mail Address","E-mail Address"
"Website URL","Website URL"
Status,Status
Position,Position
Image,Image
Remove,Remove
"Location On Map","Location On Map"
"Apply In","Apply In"
Latitude,Latitude
Longitude,Longitude
"Custom marker","Custom marker"
"Store Schedule","Store Schedule"
". ' Schedule'",". ' Schedule'"
"Open Time","Open Time"
"Close Time","Close Time"
"Location Options","Location Options"
"Restricts in All","Restricts in All"
"All Store Views","All Store Views"
"Store Locator Attributes","Store Locator Attributes"
"Attribute has been deleted.","Attribute has been deleted."
"This item no longer exists.","This item no longer exists."
"Edit Attribute","Edit Attribute"
"New Attribute","New Attribute"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"The wrong data is specified.","The wrong data is specified."
"Record has been successfully saved","Record has been successfully saved"
"Something went wrong while saving data. Please review the error log.","Something went wrong while saving data. Please review the error log."
"Store Locator","Store Locator"
"You deleted the item.","You deleted the item."
"We can't delete item right now. Please review the log and try again.","We can't delete item right now. Please review the log and try again."
"We can't find a item to delete.","We can't find a item to delete."
"Please select a location to duplicate.","Please select a location to duplicate."
"The location has been duplicated. Please feel free to activate it.","The location has been duplicated. Please feel free to activate it."
"Something went wrong while saving the item data. Please review the error log.","Something went wrong while saving the item data. Please review the error log."
"Edit Store Locator Location `%1`","Edit Store Locator Location `%1`"
"Add new Location","Add new Location"
"You deleted the location(s).","You deleted the location(s)."
"We can't delete location(s) right now. Please review the log and try again.","We can't delete location(s) right now. Please review the log and try again."
"We can't find a location(s) to delete.","We can't find a location(s) to delete."
"The wrong item is specified.","The wrong item is specified."
"You saved the item.","You saved the item."
"Locations have not been found","Locations have not been found"
Monday,Monday
Tuesday,Tuesday
Wednesday,Wednesday
Thursday,Thursday
Friday,Friday
Saturday,Saturday
Sunday,Sunday
Kilometers,Kilometers
Miles,Miles
"Allow User To Choose","Allow User To Choose"
"File directory '%1' is not readable.","File directory '%1' is not readable."
"File directory '%1' is not writable.","File directory '%1' is not writable."
"Conditions Combination","Conditions Combination"
"Product Attribute","Product Attribute"
"There is no sample file for this entity.","There is no sample file for this entity."
"Is Default","Is Default"
"Add Option","Add Option"
"Sort Option","Sort Option"
Delete,Delete
" can be found at the following stores:&nbsp;"," can be found at the following stores:&nbsp;"
Filter,Filter
Search,Search
"Current Location","Current Location"
"Enter a location","Enter a location"
"Search Radius","Search Radius"
Everywhere,Everywhere
"Search Radius Measurement","Search Radius Measurement"
km,km
mi,mi
"Locate Nearby","Locate Nearby"
Phone,Phone
E-mail,E-mail
URL,URL
"Work Time Today:","Work Time Today:"
"Frontend Locator Url","Frontend Locator Url"
Geolocation,Geolocation
"Use Browser Location","Use Browser Location"
"Use Geo IP","Use Geo IP"
"Main settings","Main settings"
"Distance Units","Distance Units"
"Google Mark Template","Google Mark Template"
"Attribute Template","Attribute Template"
"Page Title","Page Title"
"Frontend product URL text","Frontend product URL text"
"Open frontend url on new page","Open frontend url on new page"
"Google API Key","Google API Key"
"Show additional attributes","Show additional attributes"
"Store Locator Options","Store Locator Options"
Enable,Enable
"Are you sure?","Are you sure?"
Disable,Disable
ID,ID
"Store Views","Store Views"
Disabled,Disabled
Enabled,Enabled
Name,Name
"Add New Attribute","Add New Attribute"
"Delete selected items?","Delete selected items?"
"Input Type","Input Type"
Required,Required
