'My Gift Cards List','My Gift Cards List'
'My Gift Cards','My Gift Cards'
'MageWorx Giftcards','MageWorx Giftcards'
'Add New Giftcard','Add New Giftcard'
'Gift Card Information','Gift Card Information'
'Gift Card Info','Gift Card Info'
'Gift Card Code','Gift Card Code'
'Initial value','Initial value'
'Current Balance','Current Balance'
'Gift Card Currency','Gift Card Currency'
'Gift Card Status','Gift Card Status'
'Gift Card Type','Gift Card Type'
'Recipient Info','Recipient Info'
'To Name','To Name'
'To Email','To Email'
'From Name','From Name'
'Mail Message','Mail Message'
'Main Information','Main Information'
'Save Gift Card','Save Gift Card'
'Edit Gift Card','Edit Gift Card'
'New Gift Card','New Gift Card'
'ID','ID'
'Initial Value','Initial Value'
'Recipient','Recipient'
'Recipient E-Mail','Recipient E-Mail'
'Card Type','Card Type'
'Created At','Created At'
'Used Amount','Used Amount'
'Create Date','Create Date'
'Update Date','Update Date'
'Gift Card Information','Gift Card Information'
'Generate Gift Cards','Generate Gift Cards'
'Giftcards Count','Giftcards Count'
'Giftcards Amount','Giftcards Amount'
'Giftcards Status','Giftcards Status'
'Gift Card email were successfully resend','Gift Card email were successfully resend'
'Something went wrong while sending the Gift Card.','Something went wrong while sending the Gift Card.'
'Giftcards','Giftcards'
'Manage Gift Cards','Manage Gift Cards'
'Gift Cards','Gift Cards'
'Gift Card was deleted','Gift Card was deleted'
'MageWorx Gift Cards','MageWorx Gift Cards'
'MageWorx Gift Cards List','MageWorx Gift Cards List'
'Gift Card Statistic','Gift Card Statistic'
'Gift Card was saved','Gift Card was saved'
'Something went wrong while saving the Gift Card.','Something went wrong while saving the Gift Card.'
'MageWorx Gift Cards Generate','MageWorx Gift Cards Generate'
'Something went wrong while generate the Gift Card.','Something went wrong while generate the Gift Card.'
'Gift Card "%1" was applied.','Gift Card "%1" was applied.'
'Gift Card "%1" was used.','Gift Card "%1" was used.'
'Gift Card "%1" is not valid.','Gift Card "%1" is not valid.'
'Gift Cards List','Gift Cards List'
'Gift Card','Gift Card'
'Card Type','Card Type'
'Amount','Amount'
'Balance','Balance'
'Status','Status'
'Gift Card #','Gift Card #'
'Order #','Order #'
'Card Type','Card Type'
'Actions','Actions'
'You have no Gift Cards.','You have no Gift Cards.'
'You have no orders.','You have no orders.'
'Hello','Hello'
'You have received a','You have received a'
'from','from'
'This card may be redeemed on','This card may be redeemed on'
'website. Happy shopping','website. Happy shopping'
'Gift Card value','Gift Card value'
'Gift Card claim code','Gift Card claim code'
'To redeem and use you gift card','To redeem and use you gift card'
'Create an account and login into','Create an account and login into'
'Redeem the card in My Gift Cards page of My Account section','Redeem the card in My Gift Cards page of My Account section'
'Alternatively, you can redeem the card on My Cart page before proceeding to checkout','Alternatively, you can redeem the card on My Cart page before proceeding to checkout'
'If you have any questions please contact us at','If you have any questions please contact us at'
'Sorry but such card does not exists','Sorry but such card does not exists'
'The value is not within the specified range','The value is not within the specified range'
'Amount','Amount'
'Select amount','Select amount'
'From Name','From Name'
'To Name','To Name'
'To E-mail','To E-mail'
'Message','Message'
'Preview my gift card','Preview my gift card'
'Availability','Availability'
'Redeem and use your Gift Card now','Redeem and use your Gift Card now'
'Activate','Activate'
'applied from Gift Card','applied from Gift Card'
'Remaining card balance','Remaining card balance'
'Card Currency','Card Currency'
'Country','Country'
'State','State'
'City','City'
'Street','Street'
'ZIP','ZIP'
'Phone','Phone'
'Mail Delivery Date','Mail Delivery Date'
'Statistic','Statistic'
'Delete "${ $.$data.title }"','Delete "${ $.$data.title }"'
'Resend','Resend'
'Requested Order for Gift Card %1 doesn\'t exist','Requested Order for Gift Card %1 doesn\'t exist'
'Requested Order doesn\'t exist','Requested Order doesn\'t exist'
'Requested Gift Card Order doesn\'t exist','Requested Gift Card Order doesn\'t exist'
'Unable to save Gift Card Order','Unable to save Gift Card Order'
'Unable to remove Gift Card Order','Unable to remove Gift Card Order'
'Card amount is not within the specified range.','Card amount is not within the specified range.'
'You need to choose options for your item.','You need to choose options for your item.'
'Requested Gift Card doesn\'t exist','Requested Gift Card doesn\'t exist'
'Unable to save Gift Card','Unable to save Gift Card'
'Unable to remove Gift Card %1','Unable to remove Gift Card %1'
'Gift Card (%1)','Gift Card (%1)'
'Email','Email'
'Print','Print'
'Offline','Offline'
'Inactive','Inactive'
'Active','Active'
'Used','Used'
'Not correct value. Example: 100;200.33;300.56','Not correct value. Example: 100;200.33;300.56'
'Activate Gift Card on Order Status','Activate Gift Card on Order Status'
